Lower Threshold;Upper Threshold;Accuracy Rate;Number of Questions
0;500;0.9729064039408867;304
10;500;0.9273399014778325;174
20;500;0.9113300492610837;141
30;500;0.8940886699507389;113
40;500;0.8830049261083743;97
50;500;0.8768472906403941;87
60;500;0.8706896551724138;74
70;500;0.8669950738916257;64
80;500;0.8596059113300493;55
90;500;0.8522167487684729;49
100;500;0.8472906403940886;41
110;500;0.8423645320197044;37
120;500;0.8374384236453202;33
130;500;0.833743842364532;30
140;500;0.833743842364532;30
150;500;0.8312807881773399;27
160;500;0.8275862068965517;24
170;500;0.8275862068965517;23
180;500;0.8263546798029556;22
190;500;0.8263546798029556;21
200;500;0.8263546798029556;21
210;500;0.8238916256157636;19
220;500;0.8226600985221675;16
230;500;0.8201970443349754;14
240;500;0.8189655172413793;13
250;500;0.8177339901477833;12
260;500;0.8177339901477833;12
270;500;0.8165024630541872;11
280;500;0.8165024630541872;11
290;500;0.812807881773399;7
300;500;0.812807881773399;7
310;500;0.812807881773399;7
320;500;0.8115763546798029;6
330;500;0.8103448275862069;5
340;500;0.8103448275862069;5
350;500;0.8078817733990148;3
360;500;0.8066502463054187;2
370;500;0.8054187192118226;1
380;500;0.8054187192118226;1
390;500;0.8054187192118226;1
400;500;0.8054187192118226;1
410;500;0.8054187192118226;1
420;500;0.8054187192118226;1
430;500;0.8054187192118226;1
440;500;0.8054187192118226;1
450;500;0.8054187192118226;1
460;500;0.8054187192118226;1
470;500;0.8054187192118226;1
480;500;0.8054187192118226;1
490;500;0.8041871921182266;0
