Lower Threshold;Upper Threshold;Accuracy Rate;Number of Questions
0;2000;0.9741379310344828;317
100;2000;0.8485221674876847;54
200;2000;0.8275862068965517;34
300;2000;0.8140394088669951;20
400;2000;0.8066502463054187;14
500;2000;0.8054187192118226;13
600;2000;0.8029556650246306;11
700;2000;0.7992610837438424;8
800;2000;0.7992610837438424;8
900;2000;0.7967980295566502;6
1000;2000;0.7967980295566502;6
1100;2000;0.7967980295566502;6
1200;2000;0.7967980295566502;5
1300;2000;0.7955665024630542;4
1400;2000;0.7955665024630542;4
1500;2000;0.7955665024630542;4
1600;2000;0.7943349753694581;3
1700;2000;0.791871921182266;1
1800;2000;0.791871921182266;1
1900;2000;0.791871921182266;1
